Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60658,1,6,dry,TB_0439,J10,37.136125,35.2899375
60659,1,6,dry,B100,J11,39.174125,42.1706875
60660,1,6,dry,TB_0401,J12,41.5321875,41.8376875
60701,1,7,dry,TB_0204,A18,45.9284375,42.8769375
60702,1,7,dry,B100,A17,36.5875625,37.2195
60703,1,7,dry,TB_0258,A16,36.84425,38.334625
60704,1,7,dry,TB_0282,A15,36.7620625,36.8088125
60705,1,7,dry,TB_0577,A14,37.180125,37.1646875
60706,1,7,dry,TB_0358,A13,37.900375,43.4430625
60707,1,7,dry,TB_0534,B18,36.3976875,34.220625
60708,1,7,dry,TB_0384,B17,37.4193125,36.14175
60709,1,7,dry,B100,B16,36.3098125,37.3328125
60710,1,7,dry,A10,B15,37.1870625,36.92125
60711,1,7,dry,TB_0610,B14,36.3534375,36.9800625
60712,1,7,dry,TB_0064,B13,36.22625,35.9159375
60713,1,7,dry,TB_0493,C18,37.025875,36.558875
60714,1,7,dry,TB_0265,C17,37.3908125,37.7764375
60715,1,7,dry,TB_0261,C16,36.452875,40.4689375
60716,1,7,dry,TB_0256,C15,37.0403125,37.1416875
60717,1,7,dry,TB_0495,C14,36.9659375,36.937875
60718,1,7,dry,B100,C13,36.5280625,36.785125
60719,1,7,dry,TB_0155,D18,37.467375,35.65275
60720,1,7,dry,B100,D17,36.668375,35.36425
60721,1,7,dry,TB_0342,D16,38.08325,42.9055625
60722,1,7,dry,TB_0456,D15,37.1590625,36.3440625
60723,1,7,dry,TB_0540,D14,36.987625,36.6011875
60724,1,7,dry,TB_0606,D13,36.34025,36.3256875
60725,1,7,dry,TB_0034,E18,37.1976875,35.6016875
60726,1,7,dry,TB_0137,E17,39.46825,36.5359375
60727,1,7,dry,TB_0555,E16,35.687125,34.30225
60728,1,7,dry,TB_0547,E15,37.2989375,36.11925
60729,1,7,dry,TB_0050,E14,36.8246875,35.7986875
60730,1,7,dry,TB_0460,E13,36.4731875,36.2689375
60731,1,7,dry,TB_0315,F18,38.128,36.89975
60732,1,7,dry,TB_0441,F17,38.0068125,38.5475625
60733,1,7,dry,TB_0387,F16,36.7119375,37.5803125
60734,1,7,dry,B100,F15,35.858875,35.7219375
60735,1,7,dry,TB_0201,F14,35.9369375,35.3773125
60736,1,7,dry,TB_0206,F13,47.6076875,43.3335625
60737,1,7,dry,TB_0496,G18,38.18825,35.9915625
60738,1,7,dry,TB_0522,G17,37.722625,36.9244375
60739,1,7,dry,TB_0129,G16,39.587875,39.4246875
60740,1,7,dry,TB_0294,G15,38.190125,39.5885
60741,1,7,dry,TB_0334,G14,36.8568125,36.7695625
60742,1,7,dry,TB_0512,G13,36.247125,37.0999375
60743,1,7,dry,TB_0357,H18,37.43825,38.9020625
60744,1,7,dry,TB_0107,H17,36.2995,37.361625
60745,1,7,dry,B100,H16,36.3901875,38.9575625
60746,1,7,dry,TB_0488,H15,36.7859375,35.468125
60747,1,7,dry,TB_0031,H14,36.65125,38.1810625
60748,1,7,dry,TB_0063,H13,36.330375,40.0738125
60749,1,7,dry,B100,I18,35.6445,36.532125
60750,1,7,dry,TB_0191,I17,36.3843125,37.433
60751,1,7,dry,TB_0478,I16,35.9066875,38.3845625
60752,1,7,dry,TB_0266,I15,35.72725,38.3436875
60753,1,7,dry,TB_0025,I14,35.5235625,36.3571875
60754,1,7,dry,TB_0579,I13,37.0091875,40.640375
60755,1,7,dry,TB_0414,J18,35.873375,36.8419375
60756,1,7,dry,TB_0131,J17,35.73425,36.7745625
60757,1,7,dry,TB_0465,J16,35.084875,35.93675
60758,1,7,dry,TB_0146,J15,36.8431875,42.657625
60759,1,7,dry,B100,J14,35.42325,35.7026875
60760,1,7,dry,TB_0564,J13,36.736875,36.0860625
60801,1,8,dry,TB_0581,A19,35.1494375,34.705125
60802,1,8,dry,B100,A20,35.947,35.434
60803,1,8,dry,TB_0255,A21,35.597875,36.652875
60804,1,8,dry,TB_0044,A22,37.0700625,36.505875
60805,1,8,dry,TB_0417,A23,38.11925,38.127375
60806,1,8,dry,TB_0228,A24,59.5305,43.5635
60807,1,8,dry,TB_0469,B19,36.8726875,34.8348125
60808,1,8,dry,TB_0598,B20,34.9825,34.81675
60809,1,8,dry,B100,B21,35.3800625,34.473125
60810,1,8,dry,TB_0462,B22,35.9041875,35.39425
60811,1,8,dry,TB_0317,B23,37.9426875,36.857875
60812,1,8,dry,TB_0503,B24,38.6205,36.204875
60813,1,8,dry,TB_0355,C19,35.55825,38.128875
60814,1,8,dry,TB_0569,C20,35.19,35.2498125
60815,1,8,dry,TB_0316,C21,36.232,35.8021875
60816,1,8,dry,TB_0006,C22,35.5390625,35.31975
60817,1,8,dry,TB_0226,C23,40.822125,37.5725
60818,1,8,dry,B100,C24,36.6511875,35.731375
60819,1,8,dry,TB_0130,D19,35.980375,35.5990625
60820,1,8,dry,B100,D20,35.4018125,35.0426875
60821,1,8,dry,TB_0352,D21,35.554875,36.9225
60822,1,8,dry,TB_0017,D22,36.1235,35.787
60823,1,8,dry,TB_0054,D23,36.7963125,36.0279375
60824,1,8,dry,TB_0015,D24,38.2069375,35.454875
60825,1,8,dry,TB_0259,E19,36.258375,36.1670625
60826,1,8,dry,TB_0363,E20,35.95675,36.87475
60827,1,8,dry,TB_0480,E21,36.7925,39.9950625
60828,1,8,dry,TB_0310,E22,37.020625,37.0676875
60829,1,8,dry,TB_0437,E23,38.931625,36.88325
60830,1,8,dry,TB_0593,E24,38.0968125,35.798875
60831,1,8,dry,TB_0354,F19,35.2066875,37.53225
60832,1,8,dry,TB_0309,F20,35.69175,36.0439375
60833,1,8,dry,TB_0097,F21,36.2609375,36.3301875
60834,1,8,dry,B100,F22,36.349625,35.1130625
60835,1,8,dry,TB_0444,F23,37.6898125,34.825125
60836,1,8,dry,TB_0157,F24,38.8645625,36.685625
60837,1,8,dry,TB_0159,G19,35.956875,36.6854375
60838,1,8,dry,TB_0314,G20,35.3244375,35.7250625
60839,1,8,dry,TB_0362,G21,35.923125,37.2584375
60840,1,8,dry,TB_0048,G22,36.1765,37.321875
60841,1,8,dry,TB_0010,G23,37.3004375,37.1291875
60842,1,8,dry,TB_0285,G24,38.12825,37.2825625
60843,1,8,dry,TB_0088,H19,34.8284375,36.6225
60844,1,8,dry,TB_0430,H20,36.4671875,36.006875
60845,1,8,dry,B100,H21,34.546125,36.2303125
